number,nextgen_id,time_zone,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
0346,b83549b5-d4be-4ec3-938d-7ed88e902d3f,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0348,10686d97-405f-43e0-a0c1-5d4218de3298,America/New_York,12:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0350,89062afe-c7e3-4e92-9945-83c6c1ab1a04,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0351,a7d93cea-ef03-47a4-ba16-be86963d838c,America/Los_Angeles,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0352,618c765c-3437-4a4e-87cb-d1119f05a521,America/Kentucky/Louisville,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0353,d6f4510a-aeb7-4ad9-90c1-5cc440ab26f0,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0354,ff3dc505-9294-4acc-8f89-819ff98b304b,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0357,89ca5d2f-5f27-40e4-a7af-fa9c16e87099,America/Detroit,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0358,56ec77c3-c481-4600-83a2-75418e3815fa,America/New_York,11:00,19:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0359,9bc26e9a-9cf4-459a-9674-62dbc0c9f5c5,America/Phoenix,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0360,492dd3a9-ed25-4f67-888e-3048f41b2e67,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0361,db81118e-8f7c-4746-9c20-617f9a9a7b04,America/Los_Angeles,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,22:00,10:00,22:00
0363,8cc50a9d-d541-4277-8687-2179f4e02a15,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,19:00
