id,service_id,store_id,appointments_enabled,associate_required,store_service_image,allow_anonymous,private,hidden_from_reporting,created_at,updated_at,nextgen_uri,set_custom_capacity,override_store_capacity,total_capacity,capacity_type,online_capacity_pct,online_capacity,waitlist,required_lead_time,book_with,auto_confirm_appt_requests,allow_associate_selection,store_capacity,organization_nextgen_id,custom_email_copy
13098,886,28825,true,false,,,false,false,2018-05-02T19:11:28.902Z,2018-06-11T18:12:06.598Z,/locations/c05629c7-31e3-4992-8624-189748f958d6/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13128,886,28855,true,false,,,false,false,2018-05-02T19:11:36.133Z,2018-06-11T18:17:43.297Z,/locations/3736f539-f75f-4a48-96e7-147c3633509c/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13169,886,28917,true,false,,,false,false,2018-05-02T19:11:45.327Z,2018-06-11T18:22:02.812Z,/locations/55eefe52-7a0e-4156-ab49-58e8adbde39a/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13191,886,28939,true,false,,,false,false,2018-05-02T19:11:50.150Z,2018-06-11T18:27:11.440Z,/locations/1997fcb4-e7da-4555-b1cb-ed4653bff5e3/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13069,886,28796,true,false,,,false,false,2018-05-02T18:56:55.600Z,2018-06-11T18:06:53.103Z,/locations/a409ff03-eea8-462c-a86e-44f8c015d5ff/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13223,886,29004,true,false,,,false,false,2018-05-02T19:11:57.556Z,2018-06-11T18:32:02.654Z,/locations/45bc4caa-b211-4ee8-80bb-5b5f15fe38d0/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13110,886,28837,true,false,,,false,false,2018-05-02T19:11:31.797Z,2018-06-11T18:13:41.256Z,/locations/bac4d56a-d23b-49bd-a8b8-0030b46a8a68/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13174,886,28922,true,false,,,false,false,2018-05-02T19:11:46.431Z,2018-06-11T18:21:35.570Z,/locations/7c6cbebf-2331-4078-a405-206ac68b68a5/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,60,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13125,886,28852,true,false,,,false,false,2018-05-02T19:11:35.493Z,2018-06-11T18:17:19.457Z,/locations/30d3612d-bfe2-441c-ab79-4f9fbcdb0b4b/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,true,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13071,886,28797,true,false,,,false,false,2018-05-02T19:11:22.331Z,2018-06-11T18:07:04.999Z,/locations/302091d6-fe14-4f4b-8da2-ac80c16de23a/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13101,886,28828,true,false,,,false,false,2018-05-02T19:11:29.581Z,2018-06-12T18:41:39.270Z,/locations/f65c5402-6391-4902-9d22-cc8aa247fd72/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13118,886,28845,true,false,,,false,false,2018-05-02T19:11:33.753Z,2018-06-11T18:14:37.887Z,/locations/e2c5a40c-a66f-4753-944f-ad4ce8b2bfe7/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13133,886,28860,true,false,,,false,false,2018-05-02T19:11:37.302Z,2018-06-11T18:18:16.154Z,/locations/c3556cc4-bbdf-4c59-9544-228d5748a75d/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13073,886,28800,true,false,,,false,false,2018-05-02T19:11:23.013Z,2018-06-11T18:09:03.364Z,/locations/d3c939b4-7edd-4d1a-9156-c5a44dce910c/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13111,886,28838,true,false,,,false,false,2018-05-02T19:11:32.018Z,2018-06-11T18:13:50.027Z,/locations/8e841997-359c-47a4-94b6-21f96e648de4/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13074,886,28801,true,false,,,false,false,2018-05-02T19:11:23.295Z,2018-06-11T18:09:10.126Z,/locations/e152b15e-cc4c-4e8e-b6ea-f24a6e4c4740/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,60,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13107,886,28834,true,false,,,false,false,2018-05-02T19:11:31.047Z,2018-06-11T18:13:13.932Z,/locations/22b7145c-3011-4c15-ae24-715695f1215b/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13123,886,28850,true,false,,,false,false,2018-05-02T19:11:34.999Z,2018-06-11T18:17:04.654Z,/locations/6cc66609-affc-4a76-ba04-a72e871486fc/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13155,886,28903,true,false,,,false,false,2018-05-02T19:11:42.116Z,2018-06-11T18:20:58.763Z,/locations/181ccf85-f9bb-4802-99d5-f94719a759dd/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13076,886,28803,true,false,,,false,false,2018-05-02T19:11:23.746Z,2018-06-11T18:09:23.988Z,/locations/cc8b3d1e-71e9-4714-892c-953c09c10810/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13136,886,28863,true,false,,,false,false,2018-05-02T19:11:37.964Z,2018-06-11T18:18:37.180Z,/locations/1858deca-7782-41f8-bb99-ba782e495cbc/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13176,886,28924,true,false,,,false,false,2018-05-02T19:11:46.839Z,2018-06-11T18:21:16.592Z,/locations/60cc70b7-9e93-4515-8cd1-52df813c0a62/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13233,886,29014,true,false,,,false,false,2018-05-02T19:11:59.844Z,2018-06-11T18:32:58.745Z,/locations/94992bf8-84e4-4029-9c8e-d5b0b257cf19/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,,fixed,1,,,60,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13078,886,28805,true,false,,,false,false,2018-05-02T19:11:24.195Z,2018-06-11T18:09:36.163Z,/locations/1ade97cd-0155-4929-9cbb-484e102f99ec/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13249,886,29030,true,false,,,false,false,2018-05-02T19:12:03.830Z,2018-06-11T18:35:34.082Z,/locations/32a19bdd-81da-4a21-b00c-ef71a720c837/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13079,886,28806,true,false,,,false,false,2018-05-02T19:11:24.434Z,2018-06-11T18:09:43.281Z,/locations/9be142bc-d3cd-4792-9f2b-ec0c8fc591f2/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13157,886,28905,true,false,,,false,false,2018-05-02T19:11:42.565Z,2018-06-11T18:23:44.508Z,/locations/0af055f2-19ec-4758-8ce4-72ccbd0632ca/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13248,886,29029,true,false,,,false,false,2018-05-02T19:12:03.587Z,2018-06-11T18:36:23.488Z,/locations/baf6263f-996d-441a-bd82-393b60a5ee1e/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,60,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13080,886,28807,true,false,,,false,false,2018-05-02T19:11:24.696Z,2018-06-11T18:09:50.052Z,/locations/5b56c917-00af-4f40-bae5-94415eec97e6/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13139,886,28866,true,false,,,false,false,2018-05-02T19:11:38.660Z,2018-06-11T18:18:59.699Z,/locations/2524d4b2-6f1d-496d-8496-3c5a48f2ac35/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13250,886,29045,true,false,,,false,false,2018-05-02T19:12:04.063Z,2018-06-11T18:35:27.530Z,/locations/6c0dfe76-1c42-4706-acd0-f6f0857624cd/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13081,886,28808,true,false,,,false,false,2018-05-02T19:11:24.944Z,2018-06-11T18:09:56.113Z,/locations/8b161598-d38d-426c-b6d2-4c4ecb96bf98/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13082,886,28809,true,false,,,false,false,2018-05-02T19:11:25.174Z,2018-06-11T18:10:05.539Z,/locations/c8b883bc-25fe-4f03-9fd6-27a0ac6f29e2/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,60,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13124,886,28851,true,false,,,false,false,2018-05-02T19:11:35.262Z,2018-06-11T18:17:11.682Z,/locations/09128492-24c0-4683-8742-b39108915d95/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
